,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
ricardo-prasel,,Brazil,6/2/1990 (29),"6' 7"", 242 lbs",Alemao,"78""",Orthodox,,,
lance-lawrence,,,,,,,,,,
kevin-syler,,Bolivia,7/29/1993 (26),"5' 9"", 145 lbs",El Nino Bala,"71.5""",Switch,American Top Team,,
brendan-allen,,,,,,,,,,
aaron-jeffery,,Canada,11/14/1992 (26),"6' 2"", 185 lbs",,"74.5""",Orthodox,,,
gabriel-silva,,,,,,,,,,
ramazan-kuramagomedov,,Russia,,"6' 1"", 185 lbs",,,Orthodox,,,
terrance-mckinney,,,,,,,,,,
sean-woodson,,USA,6/7/1992 (27),"6' 3"", 145 lbs",The Sniper,"78""",Orthodox,,,
christian-lohsen,,,,,,,,,,
jj-okanovich,,USA,11/4/1990 (28),"5' 11"", 155 lbs",,"76""",Orthodox,,,
jamahal-hill,,,,,,,,,,
alexander-poppeck,,Germany,4/6/1992 (27),"6' 2"", 205 lbs",,,Orthodox,Munich MMA,,
billy-quarantillo,,USA,12/8/1988 (30),"5' 10"", 145 lbs",,"70""",Orthodox,Gracie Tampa South,,
kamuela-kirk,,USA,4/13/1994 (25),"5' 10"", 145 lbs",The Jawaiian,"75""",Switch,,,
yoshinori-horie,,Japan,5/10/1995 (24),"5' 8"", 145 lbs",Rising Star,"70""",Orthodox,,,
aleksa-camur,,,,,,,,,,
fabio-cherant,,USA,11/25/1994 (24),"6' 1"", 205 lbs",Water Buffalo,,,,,
steven-nguyen,,,,,,,,,,
aalon-cruz,,,,,,,,,,
tracy-cortez,,USA,12/10/1993 (25),"5' 5"", 135 lbs",,,Orthodox,,,Women's Bantamweight
mariya-agapova,,Kazakhstan,4/7/1997 (22),"5' 8"", 125 lbs",,,Southpaw,,,
daniel-rodriguez,,USA,12/31/1986 (32),"6' 0"", 170 lbs",D-Rod,"75""",Southpaw,,,
rico-farrington,,,,,,,,,,
rodrigo-nascimento,,,,,,,,,,
michal-martinek,,,,,,,,,,
cole-williams,,USA,12/15/1983 (35),"6' 0"", 170 lbs",Havoc,"73""",Orthodox,,,
miranda-granger,,USA,4/13/1992 (27),"5' 7"", 125 lbs",Danger,"68""",Orthodox,Charlie's Combat Club,,
omar-morales,,,,,,,,,,
harvey-park,,USA,3/22/1986 (33),"6' 0"", 155 lbs",Fightbot,"70.5""",Orthodox,Force Of One Martial Arts,,
marilia-santos,,Brazil,12/10/1992 (26),"5' 4"", 125 lbs",Chocolate,"68""",Orthodox,,,
lucrezia-ria,,Italy,6/24/1992 (27),"5' 9"", 125 lbs",,"67""",Orthodox,,,
herbert-burns,,Brazil,2/2/1988 (31),"5' 9"", 145 lbs",The Blaze,"74""",Orthodox,Evolve MMA,,
darrick-minner,,USA,4/28/1990 (29),"5' 7"", 145 lbs",,"70""",Orthodox,Premier Combat Center,,
taylor-johnson,,,,,,,,,,
dwight-joseph,,Liberia,8/16/1989 (30),"5' 7"", 136 lbs",,"66""",Switch,,,
jason-perrin,,USA,6/15/1993 (26),"5' 9"", 135 lbs",,"69""",Switch,,,
eduardo-garagorri,,,,,,,,,,
rodolfo-vieira,,Brazil,9/25/1989 (30),"6' 0"", 185 lbs",The Black Belt Hunter,"73""",Orthodox,Team Nogueira,,
ciryl-gane,,France,5/6/1990 (29),"6' 4"", 241 lbs",Bon Gamin,"81""",Orthodox,MMA Factory,,Heavyweight
raphael-pessoa,,Brazil,3/9/1989 (30),"6' 3"", 261 lbs",Bebezao,"78""",Orthodox,,,Heavyweight
kazula-vargas,,Mexico,8/15/1985 (34),"5' 8"", 155 lbs",Kazula,"71.5""",Southpaw,,,
herdem-alacabek,,,,,,,,,,
william-knight,,USA,4/3/1988 (31),"5' 10"", 205 lbs",Knightmare,,Orthodox,,,
devin-smyth,,USA,7/21/1995 (24),"5' 10"", 170 lbs",,"72""",Switch,,,
brok-weaver,,,,,,,,,,
sarah-alpar,,USA,6/1/1991 (28),"5' 4"", 135 lbs",Too Sweet,,Southpaw,,,
shanna-young,,,,,,,,,,
ray-rodriguez,,,,,,,,,,
tony-gravely,,USA,9/28/1991 (28),"5' 5"", 135 lbs",,,Orthodox,,,
julius-anglickas,,Lithuania,7/23/1991 (28),"6' 3"", 205 lbs",,,Orthodox,,,Light Heavyweight
khama-worthy,,,,,,,,,,
leon-shahbazyan,,USA,11/18/1995 (23),"6' 4"", 170 lbs",,"74.5""",Orthodox,,,
phil-rowe,,,,,,,,,,
marcos-brigagao,,Brazil,4/1/1996 (23),"6' 3"", 205 lbs",Ironside,"76""",Southpaw,,,
jamal-pogues,,USA,12/1/1995 (23),"6' 3"", 205 lbs",The Stormtrooper,"77""",Orthodox,,,
desmond-torres,,,,,,,,,,
steve-garcia,,USA,5/22/1992 (27),"6' 0"", 135 lbs",Mean Machine,"75""",Southpaw,,,
mallory-martin,,,,,,,,,,
micol-di-segni,,Italy,12/29/1987 (31),"5' 3"", 115 lbs",,"60.5""",Orthodox,,,
ricky-steele,,,,,,,,,,
phil-caracappa,,USA,6/5/1992 (27),"5' 8"", 135 lbs",,"70""",Orthodox,,,
dusko-todorovic,,,,,,,,,,
teddy-ash,,Canada,12/27/1989 (29),"6' 1"", 185 lbs",,"73""",Switch,,,
kailan-hill,,,,,,,,,,
impa-kasanganay,,USA,1/17/1994 (25),"5' 11"", 185 lbs",,"75""",Orthodox,,,
sang-hoon-yoo,,,,,,,,,,
peter-barrett,,USA,8/10/1986 (33),"5' 9"", 155 lbs",Slippery Pete,"73""",Southpaw,,,
ben-sosoli,,Australia,12/10/1989 (29),"6' 0"", 265 lbs",Seki,"72.5""",Southpaw,,,
dustin-joynson,,Canada,,"6' 5"", 236 lbs",,"78""",Orthodox,Zugec Ultimate Martial Arts,,
tj-brown,,,,,,,,,,
dylan-lockard,,,,,,,,,,
mizuki-inoue,,,,,,,,,,
jun-yong-park,,Korea,2/27/1991 (28),"5' 10"", 185 lbs",The Iron Turtle,"73""",Orthodox,Korean Top Team,,Middleweight
da-un-jung,,Korea,2/11/1988 (31),"6' 4"", 205 lbs",,"78.5""",Orthodox,,,
khadis-ibragimov,,,,,,,,,,
alateng-heili,,China,12/14/1991 (27),"5' 5"", 135 lbs",The Mongolian Knight,"66.5""",Orthodox,,,
danaa-batgerel,,,,,,,,,,
karol-rosa,,Brazil,12/30/1994 (24),"5' 5"", 135 lbs",,"67.5""",Orthodox,,,
lara-procopio,,Brazil,11/14/1995 (23),"5' 4"", 135 lbs",,"67.5""",Orthodox,Nova Uniao,,
lerone-murphy,,England,7/22/1991 (28),"5' 9"", 145 lbs",The Miracle,"73.5""",Orthodox,All Powers Gym,,
liana-jojua,,,,,,,,,,
ottman-azaitar,,Morocco,2/20/1990 (29),"5' 7"", 155 lbs",Bulldozer,"71""",Switch,,,
fares-ziam,,,,,,,,,,
tristan-connelly,,Canada,12/12/1985 (33),"5' 10"", 155 lbs",Boondock,"68""",Orthodox,Island MMA,,
askar-askarov,,Russia,10/9/1992 (27),"5' 6"", 125 lbs",Bullet,"67""",Orthodox,,,
vanessa-melo,,Brazil,3/27/1988 (31),"5' 5"", 140 lbs",Miss Simpatia,"65""",Orthodox,Babuino Gold Team,,
ariane-carnelossi,,Brazil,11/17/1992 (26),"5' 2"", 115 lbs",Sorriso,"61.5""",Orthodox,,,
tyson-nam,,,,,,,,,,
mark-o-madsen,,Denmark,9/23/1984 (35),"5' 8"", 155 lbs",The Olympian,"72""",Orthodox,Rumble Sports,,Welterweight
makhmud-muradov,,Uzbekistan,2/8/1990 (29),"6' 2"", 185 lbs",Mach,"75.5""",Orthodox,Ankos MMA,,
jack-shore,,Wales,2/6/1995 (24),"5' 8"", 135 lbs",,"71""",Orthodox,,,
justin-tafa,,Australia,12/13/1993 (25),"6' 0"", 265 lbs",,"74""",Southpaw,,,
brad-riddell,,New Zealand,9/30/1991 (28),"5' 7"", 155 lbs",Quake,"71""",Orthodox,City Kickboxing,,
jamie-mullarkey,,,,,,,,,,
zarah-fairn,,France,12/10/1986 (32),"5' 8"", 145 lbs",,"72""",Orthodox,,,
bruno-silva,,Brazil,3/16/1990 (29),"5' 4"", 135 lbs",Bulldog,"65""",Orthodox,Pitbull Brothers,,
kron-gracie,,Brazil,7/11/1988 (31),"5' 9"", 145 lbs",,"70""",Southpaw,Gracie Humaita,,Featherweight
diana-belbita,,Romania,6/26/1996 (23),"5' 7"", 125 lbs",The Warrior Princess,"68""",Orthodox,,,
sean-brady,,USA,11/23/1992 (26),"5' 10"", 170 lbs",,"72""",Orthodox,Renzo Gracie Philly,,
tanner-boser,,Canada,8/2/1991 (28),"6' 2"", 258 lbs",The Bulldozer,"75.5""",Orthodox,,,
loma-lookboonmee,,Thailand,1/18/1996 (23),"5' 1"", 115 lbs",,,,Tiger Muay Thai,,Women's Strawweight
